country;name;count
Etats-Unis;Umbrella;108
Emirats Arabes Unis;Umbrella;3
Royaume-Uni;Let Me;67
Belgique;;6
Allemagne;Let Me;19
Roumanie;Stay;1
Suisse;Let Me;6
Hongrie;Stay;1
Autriche;Stay;1
Pologne;Man Down;2
Danemark;Stay;3
Suède;Man Down;5
France;;9
République Tchèque;Shut Up and Drive;2
Espagne;;6
Italie;Love the Way You Lie (Part II);3
Norvège;Man Down;6
Irlande;Let Me;9
Pays-Bas;Let Me;4
Canada;Shut Up and Drive;34
Chili;Goodnight Gotham;1
Brésil;Only Girl (In the World);5
Barbade;Man Down;2
Porto Rico;Phresh Out the Runway;1
République Dominicaine;Phresh Out the Runway;1
Israël;Rude Boy;2
Afrique du Sud;Phresh Out the Runway;2
Nouvelle-Zélande;Umbrella;6
Australie;Shut Up and Drive;18
Singapour;Umbrella;2
Philippines;Umbrella;2
Chine;Phresh Out the Runway;2
Finlande;Man Down;2
Monaco;Mother Mary;2
Turquie;;3
Portugal;;3
Maroc;;3
Mexique;Disturbia;3
Azerbaïdjan;Only Girl (In the World);1
Japon;Don't Stop the Music;4
Ukraine;Only Girl (In the World);1
Grèce;Mad House;1
Luxembourg;Mad House;1
Russie;Pon de Replay;1
Lettonie;Pon de Replay;1
Estonie;Pon de Replay;1
Bulgarie;Pon de Replay;1
Slovaquie;Pon de Replay;1
Serbie;Pon de Replay;1
Jamaïque;Pon de Replay;1
