id;artist;year;city;country;tour
33e0845d;Coldplay;2017;La Plata;Argentine;A Head Full of Dreams
63e08ec7;Coldplay;2017;La Plata;Argentine;A Head Full of Dreams
1be0a56c;Coldplay;2017;Porto Alegre;Brésil;A Head Full of Dreams
3e0b913;Coldplay;2017;São Paulo;Brésil;A Head Full of Dreams
2be34022;Coldplay;2017;São Paulo;Brésil;A Head Full of Dreams
6be392aa;Coldplay;2017;San Diego;Etats-Unis;A Head Full of Dreams
3be39cbc;Coldplay;2017;Pasadena;Etats-Unis;A Head Full of Dreams
3be3a8d4;Coldplay;2017;Santa Clara;Etats-Unis;A Head Full of Dreams
63e3baa3;Coldplay;2017;Portland;Etats-Unis;A Head Full of Dreams
3be24c50;Coldplay;2017;Vancouver;Canada;A Head Full of Dreams
33e25cb9;Coldplay;2017;Edmonton;Canada;A Head Full of Dreams
5be26758;Coldplay;2017;Edmonton;Canada;A Head Full of Dreams
13e25dbd;Coldplay;2017;Charlottesville;Etats-Unis;A Head Full of Dreams
53e27b21;Coldplay;2017;Seattle;Etats-Unis;A Head Full of Dreams
63e2025f;Coldplay;2017;Las Vegas;Etats-Unis;A Head Full of Dreams
3be294a8;Coldplay;2017;Miami Gardens;Etats-Unis;A Head Full of Dreams
be2bdee;Coldplay;2017;Toronto;Canada;A Head Full of Dreams
13e54595;Coldplay;2017;Toronto;Canada;A Head Full of Dreams
2be5543a;Coldplay;2017;Cleveland;Etats-Unis;A Head Full of Dreams
6be5666e;Coldplay;2017;Chicago;Etats-Unis;A Head Full of Dreams
23e574cf;Coldplay;2017;Kansas City;Etats-Unis;A Head Full of Dreams
2be57872;Coldplay;2017;Omaha;Etats-Unis;A Head Full of Dreams
4be50b8e;Coldplay;2017;Minneapolis;Etats-Unis;A Head Full of Dreams
33e51c95;Coldplay;2017;Montréal;Canada;A Head Full of Dreams
33e524fd;Coldplay;2017;Montréal;Canada;A Head Full of Dreams
3be53468;Coldplay;2017;Landover;Etats-Unis;A Head Full of Dreams
be5c1b2;Coldplay;2017;Foxborough;Etats-Unis;A Head Full of Dreams
3be5d47c;Coldplay;2017;East Rutherford;Etats-Unis;A Head Full of Dreams
3be5bc80;Coldplay;2017;Saint-Denis;France;A Head Full of Dreams
43e44bdf;Coldplay;2017;Saint-Denis;France;A Head Full of Dreams
43e45363;Coldplay;2017;Saint-Denis;France;A Head Full of Dreams
7be46ee0;Coldplay;2017;Cardiff;Royaume-Uni;A Head Full of Dreams
7be476e8;Coldplay;2017;Cardiff;Royaume-Uni;A Head Full of Dreams
3be40474;Coldplay;2017;Dublin;Irlande;A Head Full of Dreams
